date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,prev_price
4/15/2007,Wheat flour - Retail,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.13
5/15/2007,Wheat flour - Retail,KG,cereals and tubers,14.1,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.5
6/15/2007,Wheat flour - Retail,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.1
7/15/2007,Wheat flour - Retail,KG,cereals and tubers,15.19,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.5
8/15/2007,Wheat flour - Retail,KG,cereals and tubers,15.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,15.19
9/15/2007,Wheat flour - Retail,KG,cereals and tubers,15.696,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,15.75
10/15/2007,Wheat flour - Retail,KG,cereals and tubers,17.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,15.696
11/15/2007,Wheat flour - Retail,KG,cereals and tubers,19.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,17.25
12/15/2007,Wheat flour - Retail,KG,cereals and tubers,19.875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,19.0
1/15/2008,Wheat flour - Retail,KG,cereals and tubers,21.05,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,19.875
2/15/2008,Wheat flour - Retail,KG,cereals and tubers,15.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,21.05
3/15/2008,Wheat flour - Retail,KG,cereals and tubers,15.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,15.25
4/15/2008,Wheat flour - Retail,KG,cereals and tubers,27.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,15.25
5/15/2008,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.5
6/15/2008,Wheat flour - Retail,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.0
7/15/2008,Wheat flour - Retail,KG,cereals and tubers,27.6,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.0
8/15/2008,Wheat flour - Retail,KG,cereals and tubers,27.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.6
9/15/2008,Wheat flour - Retail,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.5
10/15/2008,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.0
11/15/2008,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,33.0
12/15/2008,Wheat flour - Retail,KG,cereals and tubers,32.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,33.0
1/15/2009,Wheat flour - Retail,KG,cereals and tubers,28.6,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,32.5
2/15/2009,Wheat flour - Retail,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,28.6
3/15/2009,Wheat flour - Retail,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.0
4/15/2009,Wheat flour - Retail,KG,cereals and tubers,28.58,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.0
5/15/2009,Wheat flour - Retail,KG,cereals and tubers,28.98,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,28.58
6/15/2009,Wheat flour - Retail,KG,cereals and tubers,28.98,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,28.98
